"Atomic Number (Z)","Atomic Mass (A)","Level Index","Element","Level Energy (Modifier)","Level Energy","Level Energy (Unit)","Level Energy (Error)","Spin-Parity","Half-Life (Modifier)","Half-Life","Half-Life (Unit)","Half-Life (Error)","Decay Width (Modifier)","Decay Width","Decay Width (Unit)","Decay Width (Error)","Abundance (Modifier)","Abundance","Abundance (Error)","Mass Excess","Mass Excess (Unit)","Mass Excess (Error)","Decay Modes",
33,65,0,As,,0,keV,0,,,130.3,ms,0.6,,,,,,,,-46937.056,keV,84.766,"EC+B+ = 100 0,ECP?",
33,66,0,As,,0,keV,0,"(0+)",,95.77,ms,0.23,,,,,,,,-52025.084,keV,5.682,"EC+B+ = 100 0,ECP?",
33,67,0,As,,0,keV,0,"(5/2-)",,42.5,s,1.2,,,,,,,,-56587.232,keV,0.443,"EC+B+ = 100 0",
33,68,0,As,,0,keV,0,"3+",,151.6,s,0.8,,,,,,,,-58894.527,keV,1.846,"EC+B+ = 100 0",
33,69,0,As,,0,keV,0,"5/2-",,15.2,m,0.2,,,,,,,,-63112.181,keV,31.999,"EC+B+ = 100 0",
33,70,0,As,,0,keV,0,"4+",,52.6,m,0.3,,,,,,,,-64333.973,keV,1.397,"EC+B+ = 100 0",
33,71,0,As,,0,keV,,"5/2-",,65.3,h,0.07,,,,,,,,-67893.257,keV,4.163,"EC+B+ = 100 0",
33,72,0,As,,0,keV,0,"2-",,26,h,0.1,,,,,,,,-68229.808,keV,4.083,"EC+B+ = 100 0",
33,73,0,As,,0,keV,0,"3/2-",,80.3,d,0.06,,,,,,,,-70952.757,keV,3.853,"EC = 100 0",
33,74,0,As,,0,keV,0,"2-",,17.78,d,0.04,,,,,,,,-70860.064,keV,1.693,"B- = 34 2,EC+B+ = 66 2",
33,75,0,As,,0,keV,0,"3/2-",,STABLE,,,,,,,,100,0,-73034.203,keV,0.884,,
33,76,0,As,,0,keV,0,"2-",,26.24,h,0.09,,,,,,,,-72291.384,keV,0.886,"B- = 100 0",
33,77,0,As,,0,keV,0,"3/2-",,38.79,h,0.04,,,,,,,,-73916.334,keV,1.692,"B- = 100 0",
33,78,0,As,,0,keV,0,"2-",,90.7,m,0.2,,,,,,,,-72816.97,keV,9.779,"B- = 100 ",
33,79,0,As,,0,keV,0,"3/2-",,9.01,m,0.15,,,,,,,,-73636.081,keV,5.325,"B- = 100 0",
33,80,0,As,,0,keV,,"1+",,15.2,s,0.2,,,,,,,,-72214.601,keV,3.333,"B- = 100 ",
33,81,0,As,,0,keV,,"3/2-",,33.3,s,0.8,,,,,,,,-72533.314,keV,2.644,"B- = 100 ",
33,82,0,As,,0,keV,,"(2-)",,19.1,s,0.5,,,,,,,,-70105.427,keV,3.729,"B- = 100 ",
33,82,1,As,,131.6,keV,0.5,"(5-)",,13.6,s,0.3,,,,,,,,-69973.82699999999,keV,3.762371725388123,"B- = 100 ",
33,83,0,As,,0,keV,,"(5/2-)",,14.1,s,1.1,,,,,,,,-69669.331,keV,2.799,"B- = 100 ",
33,84,0,As,,0,keV,0,"(2-)",,3.16,s,0.58,,,,,,,,-65853.568,keV,3.171,"B- = 100 0,B-N = 0.28 0.04",
33,85,0,As,,0,keV,0,"(5/2-)",,2.023,s,0.007,,,,,,,,-63189.152,keV,3.078,"B- = 100 0,B-N = 62.2 1.6",
33,86,0,As,,0,keV,0,"(1-),(2-)",,944,ms,8,,,,,,,,-58962.15,keV,3.45,"B- = 100 0,B-N = 35.5 0.6,B-2N?",
33,87,0,As,,0,keV,0,"(3/2-),(5/2-)",,484,ms,26,,,,,,,,-55617.914,keV,2.985,"B- = 100 0,B-N = 15.4 2.2,B-2N?",
33,88,0,As,,0,keV,0,,,200,ms,+200-90,,,,,,,,-50450,keV,200,"B- = 100 0,B-N?,B-2N?",
33,89,0,As,,0,keV,,,,,,,,,,,,,,-46530,keV,300,"B- = 100 0,B-N?,B-2N?",
33,90,0,As,,0,keV,,,,,,,,,,,,,,-40990,keV,400,"B- = 100 0,B-N?,B-2N?",
33,91,0,As,,0,keV,,,,,,,,,,,,,,-36500,keV,400,"B- = 100 0,B-N?,B-2N?",
33,92,0,As,,0,keV,,,,,,,,,,,,,,-30380,keV,500,"B- = 100 ,B-N?,B-2N?",
34,63,0,Se,,0,keV,0,,,13.2,ms,3.9,,,,,,,,-16850,keV,500,"EC+B+ =~ 100 ,ECP = 89 11,2P = 0.5 ",
34,64,0,Se,,0,keV,0,"0+",,22.6,ms,0.2,,,,,,,,-26860,keV,500,"EC+B+ = 100 0,ECP?",
34,65,0,Se,,0,keV,0,"(3/2-)",,34.2,ms,0.7,,,,,,,,-33020,keV,300,"EC+B+ = 100 0,ECP = 88 +12-13",
34,66,0,Se,,0,keV,0,"0+",,51,ms,4,,,,,,,,-41660,keV,200,"EC+B+ = 100 0,ECP?",
34,67,0,Se,,0,keV,0,,,133,ms,4,,,,,,,,-46580.294,keV,67.068,"EC+B+ = 100 0,ECP = 0.5 0.1",
34,68,0,Se,,0,keV,0,"0+",,35.5,s,0.7,,,,,,,,-54189.449,keV,0.496,"EC+B+ = 100 0",
34,69,0,Se,,0,keV,0,"1/2-",,27.4,s,0.2,,,,,,,,-56434.714,keV,1.49,"EC+B+ = 100 0,ECP = 0.052 0.008",
34,70,0,Se,,0,keV,0,"0+",,41.1,m,0.3,,,,,,,,-61929.9,keV,1.584,"EC+B+ = 100 0",
34,71,0,Se,,0,keV,0,"(5/2-)",,4.78,m,0.06,,,,,,,,-63146.515,keV,2.794,"EC+B+ = 100 0",
34,72,0,Se,,0,keV,0,"0+",,8.4,d,0.08,,,,,,,,-67868.189,keV,1.956,"EC = 100 0",
34,73,0,Se,,0,keV,0,"9/2+",,7.18,h,0.02,,,,,,,,-68227.396,keV,7.424,"EC+B+ = 100 0",
34,73,1,Se,,25.71,keV,0.04,"3/2-",,39.8,m,1.3,,,,,,,,-68201.68599999999,keV,7.424107757838649,"EC+B+ = 27.4 0.3,IT = 72.6 0.3",
34,74,0,Se,,0,keV,0,"0+",,STABLE,,,,,,,,0.86,0.03,-72213.21,keV,0.015,,
34,75,0,Se,,0,keV,0,"5/2+",,119.779,d,0.011,,,,,,,,-72169.489,keV,0.073,"EC = 100 0",
34,76,0,Se,,0,keV,0,"0+",,STABLE,,,,,,,,9.23,0.07,-75251.959,keV,0.016,,
34,77,0,Se,,0,keV,0,"1/2-",,STABLE,,,,,,,,7.6,0.07,-74599.497,keV,0.062,,
34,77,1,Se,,161.9223,keV,0.001,"7/2+",,17.38,s,0.04,,,,,,,,-74437.5747,keV,0.06200806399170998,"IT = 100 0",
34,78,0,Se,,0,keV,0,"0+",,STABLE,,,,,,,,23.69,0.22,-77025.952,keV,0.179,,
34,79,0,Se,,0,keV,,"7/2+",,327333,y,28579,,,,,,,,-75917.466,keV,0.223,"B- = 100 0",
34,79,1,Se,,95.77,keV,0.03,"1/2-",,3.92,m,0.01,,,,,,,,-75821.696,keV,0.22500888871331284,"IT = 99.944 0.011,B- = 0.056 0.011",
34,80,0,Se,,0,keV,,"0+",,STABLE,,,,,,,,49.8,0.36,-77759.487,keV,0.947,,
34,81,0,Se,,0,keV,,"1/2-",,18.5,m,0.1,,,,,,,,-76389.019,keV,0.977,"B- = 100 ",
34,81,1,Se,,103,keV,0.06,"7/2+",,57.28,m,0.02,,,,,,,,-76286.019,keV,0.9788406407582391,"IT = 99.949 0.014,B- = 0.051 0.014",
34,82,0,Se,,0,keV,,"0+",,87667624445799090000,y,+2978448302659456000-2974275266654999600,,,,,,8.82,0.15,-77593.895,keV,0.466,"2B- = 100 ",
34,83,0,Se,,0,keV,,"9/2+",,22.25,m,0.05,,,,,,,,-75340.543,keV,3.036,"B- = 100 ",
34,83,1,Se,,228.92,keV,0.07,"1/2-",,70.2,s,0.5,,,,,,,,-75111.623,keV,3.036806875650804,"B- = 100 ",
34,84,0,Se,,0,keV,,"0+",,3.3,m,0.1,,,,,,,,-75947.731,keV,1.961,"B- = 100 ",
34,85,0,Se,,0,keV,,"(5/2)+",,32.9,s,0.3,,,,,,,,-72413.645,keV,2.613,"B- = 100 ",
34,86,0,Se,,0,keV,0,"0+",,14.3,s,0.3,,,,,,,,-70503.175,keV,2.52,"B- = 100 0",
34,87,0,Se,,0,keV,0,"(3/2+)",,5.51,s,0.12,,,,,,,,-66426.133,keV,2.241,"B- = 100 0,B-N = 0.36 0.08",
34,88,0,Se,,0,keV,0,"0+",,1.51,s,0.03,,,,,,,,-63884.203,keV,3.357,"B- = 100 0,B-N = 0.99 0.1",
34,89,0,Se,,0,keV,0,"(3/2)+",,0.41,s,0.03,,,,,,,,-58992.398,keV,3.729,"B- = 100 0,B-N = 6.7 1.6",
34,90,0,Se,,0,keV,0,"0+",,195,ms,+95-65,,,,,,,,-55800.223,keV,329.749,"B- = 100 0,B-N?",
34,91,0,Se,,0,keV,0,,,270,ms,50,,,,,,,,-50580.13,keV,433.145,"B- = 100 0,B-N = 21 10,B-2N?",
34,92,0,Se,,0,keV,,"0+",,,,,,,,,,,,-46724,keV,400,"B- = 100 ,B-N?,B-2N?",
34,93,0,Se,,0,keV,,,,,,,,,,,,,,-40860,keV,400,"B- = 100 ,B-N?,B-2N?",
34,94,0,Se,,0,keV,,"0+",,,,,,,,,,,,-36803,keV,500,"B- = 100 ,B-N?,B-2N?",
34,95,0,Se,,0,keV,0,,,,,,,,,,,,,-30460,keV,500,"B- = 100 0,B-N?,B-2N?",
35,68,0,Br,,0,keV,0,,,35,ns,5,,,,,,,,-38791,keV,259,"P?",
35,69,0,Br,,0,keV,0,"(5/2-)",,24,ns,,,,,,,,,-46259.478,keV,42.003,"P = 100 0",
35,70,0,Br,,0,keV,0,"0+",,78.88,ms,0.31,,,,,,,,-51425.627,keV,14.904,"EC+B+ = 100 0,ECP?",
35,70,1,Br,,2292.3,keV,0.8,"9+",,2.162,s,0.05,,,,,,,,-49133.327,keV,14.925455302937998,"EC+B+ = 100 0,ECP?",
35,71,0,Br,,0,keV,0,"(5/2-)",,21.4,s,0.6,,,,,,,,-56502.426,keV,5.402,"EC+B+ = 100 0",
35,72,0,Br,,0,keV,0,"1+",,78.6,s,2.4,,,,,,,,-59061.75,keV,1.025,"EC+B+ = 100 0",
35,72,1,Br,,101.2,keV,0.2,"3-",,10.3,s,0.6,,,,,,,,-58960.55,keV,1.0443299287102712,"IT =~ 100 ,EC+B+?",
35,73,0,Br,,0,keV,0,"1/2-",,3.4,m,0.2,,,,,,,,-63645.787,keV,6.741,"EC+B+ = 100 0",
35,74,0,Br,,0,keV,0,"(0-)",,25.4,m,0.3,,,,,,,,-65288.161,keV,5.835,"EC+B+ = 100 ",
35,74,1,Br,,13.58,keV,0.21,"4(+)",,44,m,2.2,,,,,,,,-65274.581,keV,5.838777697429489,"EC+B+ = 100 0",
35,75,0,Br,,0,keV,0,"3/2-",,96.7,m,1.3,,,,,,,,-69107.02,keV,4.285,"EC+B+ = 100 0",
35,76,0,Br,,0,keV,0,"1-",,16.16,h,0.17,,,,,,,,-70289.078,keV,9.322,"EC+B+ = 100 0",
35,76,1,Br,,102.58,keV,0.03,"4+",,1.4,s,0.07,,,,,,,,-70186.49799999999,keV,9.322048272777822,"IT = 99.4 ,EC+B+ = 0.6 ",
35,77,0,Br,,0,keV,0,"3/2-",,57.04,h,0.12,,,,,,,,-73234.818,keV,2.811,"EC+B+ = 100 0",
35,77,1,Br,,105.86,keV,0.08,"9/2+",,4.25,m,0.08,,,,,,,,-73128.958,keV,2.8121381545009485,"IT = 100 0",
35,78,0,Br,,0,keV,0,"1+",,6.45,m,0.03,,,,,,,,-73452.168,keV,3.58,"EC+B+ = 99.99 ,B- = 0.01 ",
35,79,0,Br,,0,keV,0,"3/2-",,STABLE,,,,,,,,50.5 - 50.8,,-76068.067,keV,1.001,,
35,79,1,Br,,207.61,keV,0.09,"9/2+",,4.85,s,0.03,,,,,,,,-75860.457,keV,1.005037810234023,"IT = 100 0",
35,80,0,Br,,0,keV,,"1+",,17.68,m,0.02,,,,,,,,-75889.025,keV,0.993,"B- = 91.7 0.2,EC+B+ = 8.3 0.2",
35,80,1,Br,,85.843,keV,0.004,"5-",,4.4204,h,0.0009,,,,,,,,-75803.182,keV,0.9930080563620821,"IT = 100 ",
35,81,0,Br,,0,keV,,"3/2-",,STABLE,,,,,,,,49.2 - 49.5,,-77977.051,keV,0.978,,
35,82,0,Br,,0,keV,,"5-",,35.284,h,0.007,,,,,,,,-77498.677,keV,0.971,"B- = 100 ",
35,82,1,Br,,45.9492,keV,0.001,"2-",,6.13,m,0.05,,,,,,,,-77452.7278,keV,0.9710005149329222,"IT = 97.6 0.3,B- = 2.4 0.3",
35,83,0,Br,,0,keV,,"3/2-",,2.374,h,0.004,,,,,,,,-79013.721,keV,3.795,"B- = 100 ",
35,84,0,Br,,0,keV,,"2-",,31.76,m,0.07,,,,,,,,-77783.094,keV,25.73,"B- = 100 ",
35,84,1,Br,,320,keV,100,"(6)-",,6,m,0.2,,,,,,,,-77463.094,keV,103.2571203355972,"B- = 100 ",
35,85,0,Br,,0,keV,,"3/2-",,2.94,m,0.06,,,,,,,,-78575.478,keV,3.078,"B- = 100 ",
35,86,0,Br,,0,keV,,"1-",,55.1,s,0.4,,,,,,,,-75632.261,keV,3.078,"B- = 100 ",
35,87,0,Br,,0,keV,0,"5/2-",,55.68,s,0.12,,,,,,,,-73891.685,keV,3.171,"B- = 100 0,B-N = 2.6 0.04",
35,88,0,Br,,0,keV,,"(1-)",,16.34,s,0.08,,,,,,,,-70715.967,keV,3.171,"B- = 100 0,B-N = 6.62 0.2",
35,89,0,Br,,0,keV,,"(5/2-)",,4.348,s,0.022,,,,,,,,-68274.271,keV,3.264,"B- = 100 ,B-N = 13.5 0.5",
35,90,0,Br,,0,keV,,,,1.91,s,0.01,,,,,,,,-64000.306,keV,3.357,"B- = 100 0,B-N = 25.3 0.9",
35,91,0,Br,,0,keV,,,,544,ms,10,,,,,,,,-61107.301,keV,3.543,"B- = 100 0,B-N = 29.8 0.8",
35,92,0,Br,,0,keV,,,,344,ms,15,,,,,,,,-56232.812,keV,6.709,"B- = 100 ,B-N = 33.1 2.5,B-2N?",
35,93,0,Br,,0,keV,,,,152,ms,8,,,,,,,,-52890.235,keV,430.816,"B- = 100 ,B-N = 64 7,B-2N?",
35,94,0,Br,,0,keV,,,,70,ms,20,,,,,,,,-47650,keV,200,"B- = 100 ,B-N = 30 10,B-2N?",
35,95,0,Br,,0,keV,0,,,,,,,,,,,,,-43850,keV,300,"B- = 100 0,B-N?,B-2N?",
35,96,0,Br,,0,keV,0,,,,,,,,,,,,,-38210,keV,300,"B- = 100 0,B-N?,B-2N?",
35,97,0,Br,,0,keV,,,,,,,,,,,,,,-34000,keV,400,"B- = 100 ,B-N?,B-2N?",
35,98,0,Br,,0,keV,0,,,,,,,,,,,,,-28050,keV,400,"B- = 100 0,B-N?,B-2N?",
35,101,0,Br,,0,keV,0,,,,,,,,,,,,,,,,"B- = 100 0,B-N?,B-2N?",
36,67,0,Kr,,0,keV,0,,,7.4,ms,3,,,,,,,,-15552,keV,424,"2P = 37 14,EC+B+?",
36,68,0,Kr,,0,keV,0,"0+",,21.6,ms,3.3,,,,,,,,-25626,keV,500,"EC+B+ = 100 0,ECP = 89 +11-10",
36,69,0,Kr,,0,keV,0,"(5/2-)",,27.9,ms,0.8,,,,,,,,-32140,keV,300,"EC+B+ = 100 0,ECP = 95 +5-6",
36,70,0,Kr,,0,keV,0,"0+",,45.19,ms,0.14,,,,,,,,-41100,keV,200,"EC+B+ = 100 0,ECP = 0.545 0.023",
36,71,0,Kr,,0,keV,0,"(5/2-)",,95,ms,0.4,,,,,,,,-46327.211,keV,128.769,"EC+B+ = 100 0,ECP = 3.06 0.27",
36,72,0,Kr,,0,keV,0,"0+",,17.1,s,0.2,,,,,,,,-53940.582,keV,8.011,"EC+B+ = 100 0",
36,73,0,Kr,,0,keV,0,"(3/2)-",,27.3,s,1,,,,,,,,-56551.758,keV,6.578,"EC+B+ = 100 0,ECP = 0.25 0.03",
36,74,0,Kr,,0,keV,0,"0+",,11.5,m,0.1,,,,,,,,-62331.844,keV,2.013,"EC+B+ = 100 0",
36,75,0,Kr,,0,keV,0,"5/2+",,4.55,m,0.09,,,,,,,,-64323.632,keV,8.104,"EC+B+ = 100 0",
36,76,0,Kr,,0,keV,0,"0+",,14.8,h,0.1,,,,,,,,-69013.706,keV,4.013,"EC+B+ = 100 0",
36,77,0,Kr,,0,keV,0,"5/2+",,71.25,m,0.42,,,,,,,,-70169.451,keV,1.956,"EC+B+ = 100 0",
36,78,0,Kr,,0,keV,0,"0+",,STABLE,,,,,,,,0.355,0.003,-74178.283,keV,0.307,,
36,79,0,Kr,,0,keV,0,"1/2-",,34.96,h,0.03,,,,,,,,-74442.29,keV,3.48,"EC+B+ = 100 0",
36,79,1,Kr,,129.77,keV,0.05,"7/2+",,50,s,3,,,,,,,,-74312.51999999999,keV,3.4803591768666635,"IT = 100 0",
36,80,0,Kr,,0,keV,,"0+",,STABLE,,,,,,,,2.286,0.01,-77893.455,keV,0.695,,
36,81,0,Kr,,0,keV,,"7/2+",,229000,y,11000,,,,,,,,-77696.199,keV,1.074,"EC = 100 ",
36,81,1,Kr,,190.64,keV,0.04,"1/2-",,13.21,s,0.11,,,,,,,,-77505.559,keV,1.074744620828595,"IT = 99.99753 0.00037,EC = 0.00247 0.00037",
36,82,0,Kr,,0,keV,,"0+",,STABLE,,,,,,,,11.593,0.031,-80591.79509,keV,0.00551,,
36,83,0,Kr,,0,keV,,"9/2+",,STABLE,,,,,,,,11.5,0.019,-79990.643,keV,0.009,,
36,83,1,Kr,,41.5575,keV,0.0007,"1/2-",,1.83,h,0.02,,,,,,,,-79949.0855,keV,0.009027181176868003,"IT = 100 ",
36,84,0,Kr,,0,keV,,"0+",,STABLE,,,,,,,,56.987,0.015,-82439.34527,keV,0.00382,,
36,85,0,Kr,,0,keV,,"9/2+",,10.734598632234047,y,+0.012420083072533974-0.012420083072537887,,,,,,,,-81480.341,keV,2,"B- = 100 ",
36,85,1,Kr,,304.871,keV,0.02,"1/2-",,4.48,h,0.008,,,,,,,,-81175.47,keV,2.000099997500125,"B- = 78.8 0.5,IT = 21.2 0.5",
36,86,0,Kr,,0,keV,,"0+",,STABLE,,,,,,,,17.279,0.041,-83265.67593,keV,0.00372,,
36,87,0,Kr,,0,keV,,"5/2+",,76.09,m,0.36,,,,,,,,-80709.531,keV,0.246,"B- = 100 ",
36,88,0,Kr,,0,keV,,"0+",,2.803,h,0.009,,,,,,,,-79691.295,keV,2.608,"B- = 100 ",
36,89,0,Kr,,0,keV,,"3/2(+)",,3.147,m,0.035,,,,,,,,-76535.795,keV,2.142,"B- = 100 ",
36,90,0,Kr,,0,keV,,"0+",,32.32,s,0.09,,,,,,,,-74959.259,keV,1.863,"B- = 100 ",
36,91,0,Kr,,0,keV,,"5/2(+)",,8.57,s,0.04,,,,,,,,-70973.974,keV,2.236,"B- = 100 ,B-N?",
36,92,0,Kr,,0,keV,,"0+",,1.841,s,0.008,,,,,,,,-68769.329,keV,2.701,"B- = 100 ,B-N = 0.0332 0.0025",
36,93,0,Kr,,0,keV,,"1/2+",,1.284,s,0.01,,,,,,,,-64136.002,keV,2.515,"B- = 100 ,B-N = 2 0.2",
36,94,0,Kr,,0,keV,,"0+",,212,ms,4,,,,,,,,-61347.78,keV,12.109,"B- = 100 ,B-N = 1.11 0.07",
36,95,0,Kr,,0,keV,,"1/2(+)",,114,ms,7,,,,,,,,-56158.92,keV,18.63,"B- = 100 ,B-N = 2.87 0.18,B-2N?",
36,96,0,Kr,,0,keV,,"0+",,80,ms,6,,,,,,,,-53081.682,keV,19.277,"B- = 100 ,B-N = 3.7 0.4",
36,97,0,Kr,,0,keV,,,,62,ms,3,,,,,,,,-47423.499,keV,130.409,"B- = 100 ,B-N = 6.7 0.6,B-2N?",
36,98,0,Kr,,0,keV,0,"0+",,43,ms,4,,,,,,,,-44120,keV,300,"B- = 100 ,B-N = 7 1,B-2N?",
36,99,0,Kr,,0,keV,,,,13,ms,+34-6,,,,,,,,-38400,keV,400,"B- = 100 0,B-N = 11 7,B-2N?",
36,100,0,Kr,,0,keV,,"0+",,7,ms,+11-3,,,,,,,,-34470,keV,400,"B- = 100 ,B-N?,B-2N?",
36,101,0,Kr,,0,keV,0,,,,,,,,,,,,,-28580,keV,500,"B- = 100 0,B-N?,B-2N?",
36,102,0,Kr,,0,keV,0,"0+",,,,,,,,,,,,,,,"B- = 100 0,B-N?,B-2N?",
37,72,0,Rb,,0,keV,0,,,103,ns,22,,,,,,,,-38330,keV,500,"P?",
37,73,0,Rb,,0,keV,0,"(3/2-)",,81,ns,,,,,,,,,-46011.611,keV,40.794,"P =~ 100 ,EC+B+?",
37,74,0,Rb,,0,keV,0,"0+",,64.777,ms,0.029,,,,,,,,-51916.016,keV,3.027,"EC+B+ = 100 0,ECP?",
37,75,0,Rb,,0,keV,0,"3/2(-)",,19,s,1.2,,,,,,,,-57218.702,keV,1.18,"EC+B+ = 100 0",
37,76,0,Rb,,0,keV,0,"1-",,36.5,s,0.5,,,,,,,,-60479.089,keV,0.938,"EC+B+ = 100 0,ECA = 3.8e-7 1e-7",
37,77,0,Rb,,0,keV,0,"3/2-",,3.78,m,0.04,,,,,,,,-64830.5,keV,1.304,"EC+B+ = 100 0",
37,78,0,Rb,,0,keV,0,"0+",,17.66,m,0.04,,,,,,,,-66935.427,keV,3.237,"EC+B+ = 100 0",
37,78,1,Rb,,111.19,keV,0.22,"4(-)",,5.75,m,0.03,,,,,,,,-66824.237,keV,3.244467444743436,"EC+B+ = 91 2,IT = 9 2",
37,79,0,Rb,,0,keV,0,"5/2+",,22.8,m,0.3,,,,,,,,-70802.778,keV,1.943,"EC+B+ = 100 0",
37,80,0,Rb,,0,keV,,"1+",,33.4,s,0.7,,,,,,,,-72175.476,keV,1.863,"EC+B+ = 100 ",
37,81,0,Rb,,0,keV,,"3/2-",,4.571,h,0.003,,,,,,,,-75456.704,keV,4.904,"EC+B+ = 100 ",
37,81,1,Rb,,86.31,keV,0.07,"9/2+",,30.41,m,0.19,,,,,,,,-75370.394,keV,4.904499566724417,"IT = 97.6 0.6,EC+B+ = 2.4 0.6",
37,82,0,Rb,,0,keV,,"1+",,1.2577,m,0.0009,,,,,,,,-76187.813,keV,3.009,"EC+B+ = 100 ",
37,82,1,Rb,,69,keV,1.5,"5-",,6.472,h,0.006,,,,,,,,-76118.813,keV,3.362154220139225,"EC+B+ = 100 ,IT = 0.33 ",
37,83,0,Rb,,0,keV,,"5/2-",,86.2,d,0.1,,,,,,,,-79070.639,keV,2.329,"EC = 100 ",
37,84,0,Rb,,0,keV,,"2-",,32.82,d,0.07,,,,,,,,-79758.975,keV,2.194,"EC+B+ = 96.1 2,B- = 3.9 2",
37,84,1,Rb,,463.616,keV,0.002,"6-",,20.26,m,0.08,,,,,,,,-79295.35900000001,keV,2.194000911576839,"IT = 100 ",
37,85,0,Rb,,0,keV,,"5/2-",,STABLE,,,,,,,,72.17,0.02,-82167.34065,keV,0.005,,
37,86,0,Rb,,0,keV,,"2-",,18.671,d,0.01,,,,,,,,-82747.003,keV,0.2,"B- = 99.9948 0.0005,EC = 0.0052 0.0005",
37,86,1,Rb,,556.05,keV,0.18,"6-",,1.017,m,0.003,,,,,,,,-82190.953,keV,0.26907248094147423,"IT = 99.7 ,B- = 0.3 ",
37,87,0,Rb,,0,keV,,"3/2-",,49670000000,y,320000000,,,,,,27.83,0.02,-84597.802,keV,0.006,"B- = 100 ",
37,88,0,Rb,,0,keV,,"2-",,17.775,m,0.017,,,,,,,,-82609.004,keV,0.159,"B- = 100 ",
37,89,0,Rb,,0,keV,,"3/2-",,15.39,m,0.1,,,,,,,,-81712.399,keV,5.427,"B- = 100 ",
37,90,0,Rb,,0,keV,,"0-",,158,s,4,,,,,,,,-79365.573,keV,6.452,"B- = 100 ",
37,90,1,Rb,,106.9,keV,0.03,"3-",,258,s,3,,,,,,,,-79258.67300000001,keV,6.452069745438281,"B- = 97.5 0.4,IT = 2.5 0.4",
37,91,0,Rb,,0,keV,,"3/2(-)",,58,s,0.2,,,,,,,,-77745.049,keV,7.801,"B- = 100 ,B-N?",
37,92,0,Rb,,0,keV,,"0-",,4.48,s,0.03,,,,,,,,-74772.45,keV,6.123,"B- = 100 ,B-N = 0.0109 0.0006",
37,93,0,Rb,,0,keV,,"5/2-",,5.85,s,0.02,,,,,,,,-72619.9,keV,7.83,"B- = 100 ,B-N = 1.46 0.09",
37,94,0,Rb,,0,keV,,"3-",,2.704,s,0.005,,,,,,,,-68562.791,keV,2.029,"B- = 100 ,B-N = 10.29 0.22",
37,95,0,Rb,,0,keV,,"5/2-",,379.9,ms,1.6,,,,,,,,-65890.307,keV,20.245,"B- = 100 ,B-N = 8.75 0.29",
37,96,0,Rb,,0,keV,,"2(-)",,201.6,ms,1,,,,,,,,-61354.351,keV,3.353,"B- = 100 ,B-N = 13.8 0.5,B-2N?",
37,97,0,Rb,,0,keV,,"3/2+",,169.1,ms,0.6,,,,,,,,-58519.145,keV,1.912,"B- = 100 ,B-N = 25.5 0.9,B-2N?",
37,98,0,Rb,,0,keV,0,"0(-)",,115,ms,6,,,,,,,,-54369.152,keV,16.083,"B- = 100 0,B-N = 14.3 0.8,B-2N = 0.054 0.008",
37,98,1,Rb,,70,keV,30,"(3+)",,96,ms,3,,,,,,,,-54299.152,keV,34.03913760658457,"B- = 100 0,B-N?,IT?",
37,99,0,Rb,,0,keV,,"(3/2+)",,53.8,ms,2.7,,,,,,,,-51121.15,keV,4.031,"B- = 100 ,B-N = 19.8 2,B-2N?",
37,100,0,Rb,,0,keV,,"(4-)",,52,ms,2,,,,,,,,-46265.884,keV,13.124,"B- = 100 ,B-N = 6 1,B-2N = 0.15 0.05",
37,101,0,Rb,,0,keV,,"(3/2+)",,32,ms,+4-3,,,,,,,,-42567.417,keV,20.493,"B- = 100 ,B-N = 27 4,B-2N?",
37,102,0,Rb,,0,keV,,"(4+)",,37,ms,4,,,,,,,,-37252.312,keV,82.903,"B- = 100 0,B-N = 65 22,B-2N?",
37,103,0,Rb,,0,keV,,,,23,ms,+13-9,,,,,,,,-33160,keV,400,"B- = 100 ,B-N?,B-2N?",
37,104,0,Rb,,0,keV,0,,,,,,,,,,,,,-27450,keV,500,"B- = 100 0,B-N?,B-2N?",
37,105,0,Rb,,0,keV,0,,,,,,,,,,,,,,,,"B- = 100 0,B-N?,B-2N?",
37,106,0,Rb,,0,keV,0,,,,,,,,,,,,,,,,"B- = 100 0,B-N?,B-2N?",
38,73,0,Sr,,0,keV,0,"(5/2-)",,23.3,ms,1.3,,,,,,,,-31950,keV,401,"EC+B+ =~ 100 ,ECP =~ 100 ",
38,74,0,Sr,,0,keV,0,"0+",,27.6,ms,2.6,,,,,,,,-40827,keV,100,"EC+B+ = 100 0,ECP?",
38,75,0,Sr,,0,keV,0,"(3/2-)",,85.2,ms,2.2,,,,,,,,-46618.702,keV,220.003,"EC+B+ = 100 0,ECP = 5.2 0.9",
38,76,0,Sr,,0,keV,0,"0+",,7.89,s,0.07,,,,,,,,-54247.645,keV,34.465,"EC+B+ = 100 0,ECP = 0.000034 0.000008",
38,77,0,Sr,,0,keV,0,"5/2(+)",,9,s,0.2,,,,,,,,-57803.443,keV,7.918,"EC+B+ = 100 0,ECP = 0.08 0.03",
38,78,0,Sr,,0,keV,0,"0+",,156,s,3,,,,,,,,-63173.949,keV,7.452,"EC+B+ = 100 0",
38,79,0,Sr,,0,keV,0,"3/2(-)",,2.23,m,0.07,,,,,,,,-65479.664,keV,7.421,"EC+B+ = 100 0",
